"[array([ 0.     ,  0.     , 61.52202,  0.     , ..., 68.69626,  0.     ,  0.     , 25.47086], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0001.jpg']"
"[array([ 1.25088 ,  0.      , 60.843166,  0.      , ..., 53.7417  ,  0.      ,  7.567468, 16.424793], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0002.jpg']"
"[array([ 6.283038,  0.      , 55.161674,  0.      , ..., 51.900684,  0.      , 21.6181  , 14.913061], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0056.jpg']"
"[array([22.805256,  0.      , 37.628643,  0.      , ..., 33.749165,  0.      ,  5.83113 , 29.562845], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0063.jpg']"
"[array([ 5.154592,  1.452412, 50.070335,  0.      , ..., 66.6226  ,  0.      , 17.474962, 18.935905], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0017.jpg']"
"[array([ 0.      ,  0.      , 23.657192,  0.      , ..., 50.500534,  0.      ,  0.      , 38.816395], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0052.jpg']"
"[array([1.300043e+01, 3.900906e-02, 6.335728e+01, 0.000000e+00, ..., 8.392791e+01, 0.000000e+00, 1.500473e+01,
       3.864259e+00], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0037.jpg']"
"[array([ 0.      ,  9.247624, 74.16973 ,  0.      , ..., 60.40617 ,  0.      ,  0.488322, 23.182343], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0027.jpg']"
"[array([ 0.      ,  0.      , 20.33038 ,  0.      , ..., 58.42257 ,  0.      , 17.187683, 17.30046 ], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0007.jpg']"
"[array([ 3.476526,  0.      , 59.26426 ,  0.      , ..., 57.386692,  0.      ,  5.211526, 23.18088 ], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0028.jpg']"
"[array([ 0.      ,  0.      , 68.237045,  0.      , ..., 61.129192,  0.      ,  0.      ,  3.770385], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0041.jpg']"
"[array([ 0.      ,  0.      , 58.508728,  0.      , ..., 41.83067 ,  0.      , 14.972105,  6.098835], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0029.jpg']"
"[array([ 0.      , 15.711411, 56.434727,  0.      , ..., 32.5189  ,  0.      ,  0.      ,  3.162195], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0048.jpg']"
"[array([ 0.     ,  0.     , 73.81968,  0.     , ..., 73.91084,  0.     ,  0.     ,  0.     ], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0021.jpg']"
"[array([ 0.      ,  0.      , 77.91144 ,  0.      , ..., 88.42962 ,  0.      ,  2.101046,  0.      ], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0030.jpg']"
"[array([14.356061,  0.      , 39.679104,  0.      , ..., 68.84843 ,  0.      , 18.247522, 30.025469], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0006.jpg']"
"[array([19.827845,  6.788644, 45.22236 ,  0.      , ..., 26.171797,  0.      , 13.740389,  4.388951], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0003.jpg']"
"[array([ 0.      ,  0.      , 32.662075,  0.      , ..., 32.314995,  0.      ,  6.769525, 15.917346], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0046.jpg']"
"[array([ 1.474033,  0.      , 67.13219 ,  0.      , ..., 34.010975,  0.      ,  0.      , 15.074573], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0013.jpg']"
"[array([ 0.      ,  0.      , 67.44668 ,  0.      , ..., 47.161724,  0.      ,  0.      , 19.100115], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0033.jpg']"
"[array([1.140499e+01, 6.830785e-02, 7.469057e+01, 0.000000e+00, ..., 3.771990e+01, 0.000000e+00, 1.604053e+01,
       2.495555e+01], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0023.jpg']"
"[array([ 0.     ,  0.     , 29.06625,  0.     , ..., 77.5473 ,  0.     ,  0.     ,  6.05357], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0025.jpg']"
"[array([ 0.      ,  0.      , 54.230408,  0.      , ..., 44.58342 ,  0.      ,  0.      , 16.915215], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0032.jpg']"
"[array([ 8.8289  ,  0.      , 35.62264 ,  0.      , ..., 58.218452,  0.      ,  0.      , 21.302063], dtype=float32), '/content/101_ObjectCategories/dolphin/image_0065.jpg']"
